code,name,latitude,longitude,country,city,state
BAK,Baku Metropolitan Area,40.395278,49.882222,AZ,Baku,Azerbaijan
BER,Berlin Metropolitan Area,52.520008,13.404954,DE,Berlin,Germany
BHZ,Belo Horizonte Metropolitan Area,-19.916667,-43.933333,BR,Belo Horizonte,Minas Gerais
BJS,Beijing Metropolitan Area,39.933333,116.383333,CN,Beijing,China
BUE,Buenos Aires Metropolitan Area,-34.6,-58.38,AR,Buenos Aires,Argentina
BUH,Bucharest Metropolitan Area,44.4325,26.103889,RO,Bucharest,Romania
DTT,Detroit Metropolitan Area,42.333,-83.05,US,Detroit,Michigan
GRV,Kadyrov Grozny International Airport,43.388333, 45.699722,RU,Grozny,Russia
IZM,Izmir Metropolitan Area,38.42,27.14,TR,Izmir,Turkey
JKT,Jakarta Metropolitan Area,-6.2,106.816667,ID,Jakarta,Indonesia
LON,London Metropolitan Area,51.50939,-0.11832,GB,London,United Kingdom
MIL,Mailand Metropolitan Area,45.4625,9.186389,IT,Milan,Italy
MOW,Moscow Metropolitan Area,55.751244,37.618423,RU,Moscow,Russia
NCP,Luzon Metropolitan Area,16.0,121.0,PH,Luzon,Manila
NQZ,Nursultan Nazarbayev International Airport,51.02781,71.4612,KZ,Almaty,Kazakhstan
NYC,New York Metropolitan Area,40.712778,-74.005833,US,New York,United States
OHH,Okha Airport,53.517778,142.880092,RU,Okha,Russia
OSA,Osaka Metropolitan Area,34.693889,135.502222,JP,Osaka,Japan
PAR,Paris Metropolitan Area,48.856667,2.351667,FR,Paris,France
REK,Reykjavik Metropolitan Area,64.13333299999,-21.933333,IS,Reykjavik,Iceland
RIO,Rio de Janeiro Metropolitan Area,-22.908333,-43.196389,BR,Rio de Janeiro,Brazil
ROM,Rome Metropolitan Area,41.883333,12.483333,IT,Rome,Italy
SAO,Sao Paulo Metropolitan Area,-23.55,-46.633333,BR,Sao Paulo,Brazil
SDZ,Shetland Islands Metropolitan Area,60.31724307915,-1.26169442216,GB,Shetland Islands,United Kingdom
SEL,Seoul Metropolitan Area,37.566667,126.966667,KR,Seoul,South Korea
STO,Stockholm Metropolitan Area,59.325,18.05,SE,Stockholm,Sweden
TOX,Remezov Tobolsk Airport,58.200348 ,68.256332 ,RU,Tobolsk,Russia
TYO,Tokyo Metropolitan Area,35.156111,136.06,JP,Tokyo,Japan
WAS,Washington D.C. Metropolitan Area,38.895,-77.036667,US,Washington,United States
YEA,Edmonton Metropolitan Area,53.533333,-113.553,CA,Edmonton,United States
YMQ,Montreal Metropolitan Area,45.5077,-73.5626,CA,Montreal,Canada
YTO,Toronto Metropolitan Area,43.66135,-79.383087,CA,Toronto,Canada
